Date,ID,Latitude,Longitude,y_proj,x_proj,SM1,P1,SM2,P2,SM3,P3,SM4,P4,SM5,P5,SM6,P6,SM7,P7,Average,SD
7/18/13,HF037,42.43693773,-76.24994977,4699046.6,397192.7377,12,0.86,14,0.88,15,0.88,NA,NA,NA,NA,NA,NA,NA,NA,13.66666667,1.527525232
8/15/13,HF037,42.43693773,-76.24994977,4699046.6,397192.7377,17,0.9,19,0.91,18,0.9,NA,NA,NA,NA,NA,NA,NA,NA,18,1
10/26/13,HF037 ,42.43693773,-76.24994977,4699046.6,397192.7377,33,0.99,33,0.99,37,1.02,NA,NA,NA,NA,NA,NA,NA,NA,34.33333333,2.309401077
11/2/12,HF038,42.43662584,-76.2501154,4699012.168,397178.6046,23,0.93,27,0.96,27,0.96,NA,NA,NA,NA,NA,NA,NA,NA,25.666667,2.309401077
11/9/12,HF038,42.43662584,-76.2501154,4699012.168,397178.6046,25,0.95,25,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0
11/9/12,HF038,42.43662584,-76.2501154,4699012.168,397178.6046,33,0.99,31,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,1.414213562
11/16/12,HF038,42.43662584,-76.2501154,4699012.168,397178.6046,28,0.96,25,0.95,27,0.97,NA,NA,NA,NA,NA,NA,NA,NA,26.666667,1.527525232
11/30/12,HF038,42.43662584,-76.2501154,4699012.168,397178.6046,22,0.93,21,0.92,23,0.94,NA,NA,NA,NA,NA,NA,NA,NA,22,1
4/19/13,HF038,42.43662584,-76.2501154,4699012.17,397178.6,33,0.99,32,0.98,32,0.99,NA,NA,NA,NA,NA,NA,NA,NA,32.33333333,0.577350269
5/16/13,HF038,42.43662584,-76.2501154,4699012.17,397178.6,29,0.97,21,0.92,18,0.9,19,0.91,NA,NA,NA,NA,NA,NA,21.75,4.991659711
6/27/13,HF038,42.43662584,-76.2501154,4699012.168,397178.6046,9,0.85,7,0.84,19,0.91,20,0.92,22,0.92,NA,NA,NA,NA,15.4,6.877499546
7/18/13,HF038,42.43662584,-76.2501154,4699012.168,397178.6046,9,0.84,13,0.87,11,0.86,NA,NA,NA,NA,NA,NA,NA,NA,11,2
8/15/13,HF038,42.43662584,-76.2501154,4699012.168,397178.6046,22,0.93,20,0.92,18,0.91,NA,NA,NA,NA,NA,NA,NA,NA,20,2
10/26/13,HF038,42.43662584,-76.2501154,4699012.168,397178.6046,30,0.98,21,0.92,31,0.98,23,0.94,NA,NA,NA,NA,NA,NA,26.25,4.991659711
11/2/12,HF039,42.43613365,-76.2490302,4698956.202,397267.0591,31,0.98,35,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,2.828427125
11/9/12,HF039,42.43613365,-76.2490302,4698956.202,397267.0591,30,0.98,28,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,1.414213562
11/16/12,HF039,42.43613365,-76.2490302,4698956.202,397267.0591,33,0.99,30,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5,2.121320344
11/30/12,HF039,42.43613365,-76.2490302,4698956.202,397267.0591,21,0.92,22,0.93,23,0.94,NA,NA,NA,NA,NA,NA,NA,NA,22,1
4/19/13,HF039,42.43613365,-76.2490302,4698956.2,397267.06,36,1.01,32,0.99,34,1,NA,NA,NA,NA,NA,NA,NA,NA,34,2
5/16/13,HF039,42.43613365,-76.2490302,4698956.2,397267.06,29,0.97,16,0.89,21,0.92,18,0.91,NA,NA,NA,NA,NA,NA,21,5.715476066
6/27/13,HF039,42.43613365,-76.2490302,4698956.202,397267.0591,27,0.96,20,0.92,14,0.88,20,0.92,NA,NA,NA,NA,NA,NA,20.25,5.315072906
7/18/13,HF039,42.43613365,-76.2490302,4698956.202,397267.0591,10,0.84,8,0.83,11,0.86,NA,NA,NA,NA,NA,NA,NA,NA,9.666666667,1.527525232
8/15/13,HF039,42.43613365,-76.2490302,4698956.202,397267.0591,20,0.92,18,0.9,14,0.88,14,0.88,14,0.87,NA,NA,NA,NA,16,2.828427125
10/26/13,HF039,42.43613365,-76.2490302,4698956.202,397267.0591,25,0.95,26,0.96,28,0.97,NA,NA,NA,NA,NA,NA,NA,NA,26.33333333,1.527525232
11/2/12,HF040,42.43801463,-76.24913187,4699166.051,397263.745,45,1.06,46,1.07,44,1.06,NA,NA,NA,NA,NA,NA,NA,NA,45,1
11/9/12,HF040,42.43801463,-76.24913187,4699166.051,397263.745,39,1.03,37,1.02,39,1.03,NA,NA,NA,NA,NA,NA,NA,NA,38.333333,1.154700538
11/16/12,HF040,42.43801463,-76.24913187,4699166.051,397263.745,45,1.06,44,1.05,43,1.04,NA,NA,NA,NA,NA,NA,NA,NA,44,1
11/30/12,HF040,42.43801463,-76.24913187,4699166.051,397263.745,34,0.99,34,1,35,1.01,36,1.01,NA,NA,NA,NA,NA,NA,34.75,0.957427108
4/19/13,HF040,42.43801463,-76.24913187,4699166.05,397263.75,44,1.06,42,1.05,41,1.04,NA,NA,NA,NA,NA,NA,NA,NA,42.33333333,1.527525232
5/16/13,HF040,42.43801463,-76.24913187,4699166.05,397263.75,22,0.93,17,0.9,14,0.87,15,0.89,NA,NA,NA,NA,NA,NA,17,3.559026084
6/27/13,HF040,42.43801463,-76.24913187,4699166.051,397263.745,31,0.98,24,0.94,20,0.92,24,0.94,NA,NA,NA,NA,NA,NA,24.75,4.573474245
7/18/13,HF040,42.43801463,-76.24913187,4699166.051,397263.745,15,0.89,12,0.86,13,0.87,NA,NA,NA,NA,NA,NA,NA,NA,13.33333333,1.527525232
8/15/13,HF040,42.43801463,-76.24913187,4699166.051,397263.745,56,1.12,51,1.09,56,1.11,NA,NA,NA,NA,NA,NA,NA,NA,54.33333333,2.886751346
10/26/13,HF040,42.43801463,-76.24913187,4699166.051,397263.745,44,1.06,41,1.04,37,1.02,38,1.03,NA,NA,NA,NA,NA,NA,40,3.16227766
11/2/12,HF041,42.43869365,-76.24888326,4699240.286,397283.3268,26,0.94,30,0.98,25,0.95,NA,NA,NA,NA,NA,NA,NA,NA,27,2.645751311
11/9/12,HF041,42.43869365,-76.24888326,4699240.286,397283.3268,33,0.99,32,0.99,29,0.97,28,0.97,NA,NA,NA,NA,NA,NA,30.5,2.380476143
11/16/12,HF041,42.43869365,-76.24888326,4699240.286,397283.3268,33,1,33,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,0
11/30/12,HF041,42.43869365,-76.24888326,4699240.286,397283.3268,29,0.97,30,0.98,26,0.96,NA,NA,NA,NA,NA,NA,NA,NA,28.333333,2.081665999
5/16/13,HF041,42.43869365,-76.24888326,4699240.29,397283.33,19,0.91,21,0.92,18,0.9,NA,NA,NA,NA,NA,NA,NA,NA,19.33333333,1.527525232
6/27/13,HF041,42.43869365,-76.24888326,4699240.286,397283.3268,24,0.94,14,0.88,17,0.9,10,0.85,22,0.93,NA,NA,NA,NA,17.4,5.727128425
7/18/13,HF041,42.43869365,-76.24888326,4699240.286,397283.3268,18,0.91,16,0.89,18,0.91,NA,NA,NA,NA,NA,NA,NA,NA,17.33333333,1.154700538
8/15/13,HF041,42.43869365,-76.24888326,4699240.286,397283.3268,27,0.96,30,0.98,28,0.97,30,0.98,NA,NA,NA,NA,NA,NA,28.75,1.5
10/26/13,HF041,42.43869365,-76.24888326,4699240.286,397283.3268,31,0.98,23,0.93,38,1.03,37,1.02,NA,NA,NA,NA,NA,NA,32.25,6.898067362
11/2/12,HF042,42.43912825,-76.24785086,4699287.295,397368.9491,39,1.03,35,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,2.828427125
11/9/12,HF042,42.43912825,-76.24785086,4699287.295,397368.9491,30,0.97,30,0.98,34,1,37,1.02,NA,NA,NA,NA,NA,NA,32.75,3.403429643
11/16/12,HF042,42.43912825,-76.24785086,4699287.295,397368.9491,35,1.01,36,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,0.707106781
11/30/12,HF042,42.43912825,-76.24785086,4699287.295,397368.9491,28,0.97,29,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5,0.707106781
